CODCLI,CODART,Cliente,Pais,Comunidad autÃ³noma,Provincia,Zona,ArtÃ­culo,Serie,Nfactura,Fecha,Unidades,Precio,Costo,status,name_complete
4,2,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta mountain infantil,S2,12,41290,9,"123,49","123,49",Confirmed,Ana Patricia Martínez
4,4,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. A,S2,13,41291,14,"284,99","284,99",Pending,Ana Patricia Martínez
4,6,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta infantil,S2,14,41292,22,"47,49","47,49",Returned,Ana Patricia Martínez
4,7,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Mountain bike,S2,15,41293,19,"56,99","56,99",Confirmed,Ana Patricia Martínez
4,10,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Monociclo,S2,16,41294,16,"227,99","227,99",Confirmed,Ana Patricia Martínez
4,12,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Asiento para bicicleta velocidad,S2,17,41295,16,"45,18","45,18",Delivered,Ana Patricia Martínez
4,14,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,EmpuÃ±adura,S2,18,41296,32,"66,61","66,61",Delivered,Ana Patricia Martínez
4,9,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta tres asientos,S2,19,41297,16,"427,49","427,49",Pending,Ana Patricia Martínez
6,1,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera,S2,20,41298,13,"612,25","612,25",Shipped,Luisa Margarita Ramírez
6,4,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. A,S2,21,41299,22,"299,99","299,99",Confirmed,Luisa Margarita Ramírez
6,11,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera modelo C,S2,22,41300,19,"599,99","599,99",Confirmed,Luisa Margarita Ramírez
6,13,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Casco bicicleta,S2,23,41301,14,"47,99","47,99",Delivered,Luisa Margarita Ramírez
6,14,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,EmpuÃ±adura,S2,24,41302,22,"70,12","70,12",Returned,Luisa Margarita Ramírez
6,15,ADELA ZEVERANIA ROSTRAN MORA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Gafas,S2,25,41303,24,"54,23","54,23",Returned,Luisa Margarita Ramírez
7,1,FELIX RODOLFO GARCIA ARIAS,NICARAGUA,MADRIZ,MADRIZ,Norte,Bicicleta carrera,S2,26,41304,14,"612,25","612,25",Delivered,Pedro Antonio Gutiérrez
7,2,FELIX RODOLFO GARCIA ARIAS,NICARAGUA,MADRIZ,MADRIZ,Norte,Bicicleta mountain infantil,S2,27,41305,14,"129,99","129,99",Pending,Pedro Antonio Gutiérrez
7,8,FELIX RODOLFO GARCIA ARIAS,NICARAGUA,MADRIZ,MADRIZ,Norte,Bicicleta paseo,S2,28,41306,6,"179,99","179,99",Pending,Pedro Antonio Gutiérrez
7,11,FELIX RODOLFO GARCIA ARIAS,NICARAGUA,MADRIZ,MADRIZ,Norte,Bicicleta carrera modelo C,S2,29,41307,6,"599,99","599,99",Delivered,Pedro Antonio Gutiérrez
7,15,FELIX RODOLFO GARCIA ARIAS,NICARAGUA,MADRIZ,MADRIZ,Norte,Gafas,S2,30,41308,32,"54,23","54,23",Confirmed,Pedro Antonio Gutiérrez
8,1,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Bicicleta carrera,S2,31,41309,19,"612,25","612,25",Pending,Rosa Elena Fernández
8,2,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Bicicleta mountain infantil,S2,32,41310,21,"129,99","129,99",Pending,Rosa Elena Fernández
8,6,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Bicicleta infantil,S2,33,41311,14,"49,99","49,99",Confirmed,Rosa Elena Fernández
8,11,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Bicicleta carrera modelo C,S2,34,41312,4,"599,99","599,99",Returned,Rosa Elena Fernández
8,12,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Asiento para bicicleta velocidad,S2,35,41313,32,"47,56","47,56",Delivered,Rosa Elena Fernández
8,13,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Casco bicicleta,S2,36,41314,32,"47,99","47,99",Confirmed,Rosa Elena Fernández
8,14,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,EmpuÃ±adura,S2,37,41315,32,"70,12","70,12",Confirmed,Rosa Elena Fernández
8,15,CARLA VANESA MADRIZ ARGUELLO,NICARAGUA,JINOTEGA,JINOTEGA,Oeste,Gafas,S2,38,41316,48,"54,23","54,23",Delivered,Rosa Elena Fernández
10,1,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta carrera,S2,39,41317,32,"581,64","523,48",Confirmed,Gabriela Mercedes Pineda
10,2,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta mountain infantil,S2,40,41318,32,"123,49","111,14",Delivered,Gabriela Mercedes Pineda
10,4,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta carrera mod. A,S2,41,41319,24,"284,99","256,49",Delivered,Gabriela Mercedes Pineda
10,5,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta carrera mod. B,S2,42,41320,32,"522,49","470,24",Confirmed,Gabriela Mercedes Pineda
10,6,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta infantil,S2,43,41321,32,"47,49","42,74",Confirmed,Gabriela Mercedes Pineda
10,7,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Mountain bike,S2,44,41322,24,"56,99","51,29",Delivered,Gabriela Mercedes Pineda
10,8,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta paseo,S2,45,41323,24,"170,99","153,89",Returned,Gabriela Mercedes Pineda
10,11,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Bicicleta carrera modelo C,S2,46,41324,4,"569,99","512,99",Confirmed,Gabriela Mercedes Pineda
10,12,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Asiento para bicicleta velocidad,S2,47,41325,32,"45,18","40,66",Pending,Gabriela Mercedes Pineda
10,13,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Casco bicicleta,S2,48,41326,81,"45,59","41,03",Returned,Gabriela Mercedes Pineda
10,14,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,EmpuÃ±adura,S2,49,41327,32,"66,61","59,95",Delivered,Gabriela Mercedes Pineda
10,15,EMILSE LAZO CASTELLON,NICARAGUA,CHONTALES,CHONTALES,Oeste,Gafas,S2,50,41328,65,"51,52","46,37",Returned,Gabriela Mercedes Pineda
12,1,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Bicicleta carrera,S2,51,41329,22,"612,25","612,25",Delivered,Camila Sofía Castillo
12,2,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Bicicleta mountain infantil,S2,52,41330,17,"129,99","129,99",Shipped,Camila Sofía Castillo
12,5,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Bicicleta carrera mod. B,S2,53,41331,21,"549,99","549,99",Confirmed,Camila Sofía Castillo
12,8,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Bicicleta paseo,S2,54,41332,9,"179,99","179,99",Shipped,Camila Sofía Castillo
12,12,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Asiento para bicicleta velocidad,S2,55,41333,32,"47,56","47,56",Confirmed,Camila Sofía Castillo
12,15,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Gafas,S2,56,41334,65,"54,23","54,23",Confirmed,Camila Sofía Castillo
12,3,ESTEBAN TOMAS RUEDA VALLECILLO,NICARAGUA,MANAGUA,MANAGUA,Oeste,Bicicleta dual,S2,57,41335,1,"349,99","349,99",Confirmed,Camila Sofía Castillo
13,1,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Bicicleta carrera,S2,58,41336,22,"551,02","413,27",Returned,Ricardo Emilio Sánchez
13,2,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Bicicleta mountain infantil,S2,59,41337,17,"116,99","98,27",Returned,Ricardo Emilio Sánchez
13,4,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Bicicleta carrera mod. A,S2,60,41338,24,"269,99","213,29",Delivered,Ricardo Emilio Sánchez
13,5,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Bicicleta carrera mod. B,S2,61,41339,21,"494,99","391,04",Shipped,Ricardo Emilio Sánchez
13,12,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Asiento para bicicleta velocidad,S2,62,41340,32,"42,8","35,95",Shipped,Ricardo Emilio Sánchez
13,13,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Casco bicicleta,S2,63,41341,81,"43,19","36,28",Delivered,Ricardo Emilio Sánchez
13,3,JOSE ABRAHAM PALACIOS MARADIAGA,NICARAGUA,BOACO,BOACO,Oeste,Bicicleta dual,S2,64,41342,1,"314,99","267,74",Confirmed,Ricardo Emilio Sánchez
14,2,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Bicicleta mountain infantil,S2,65,41343,16,"129,99","129,99",Confirmed,Adriana Isabel Jiménez
14,4,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Bicicleta carrera mod. A,S2,66,41344,24,"299,99","299,99",Delivered,Adriana Isabel Jiménez
14,5,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Bicicleta carrera mod. B,S2,67,41345,21,"549,99","549,99",Shipped,Adriana Isabel Jiménez
14,8,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Bicicleta paseo,S2,68,41346,3,"179,99","179,99",Returned,Adriana Isabel Jiménez
14,13,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Casco bicicleta,S2,69,41347,81,"47,99","47,99",Pending,Adriana Isabel Jiménez
14,14,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,EmpuÃ±adura,S2,70,41348,32,"70,12","70,12",Returned,Adriana Isabel Jiménez
14,3,MAURICIO RAUL URROZ SALGADO,NICARAGUA,MANAGUA,MANAGUA,Este,Bicicleta dual,S2,71,41349,1,"349,99","349,99",Shipped,Adriana Isabel Jiménez
15,1,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Bicicleta carrera,S2,72,41350,22,"612,25","520,41",Confirmed,Fernando Andrés Ortega
15,2,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Bicicleta mountain infantil,S2,73,41351,17,"129,99","110,49",Confirmed,Fernando Andrés Ortega
15,5,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Bicicleta carrera mod. B,S2,74,41352,21,"549,99","467,49",Returned,Fernando Andrés Ortega
15,8,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Bicicleta paseo,S2,75,41353,3,"179,99","152,99",Confirmed,Fernando Andrés Ortega
15,14,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,EmpuÃ±adura,S2,76,41354,32,"70,12","59,6",Shipped,Fernando Andrés Ortega
15,15,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Gafas,S2,77,41355,65,"54,23","46,1",Returned,Fernando Andrés Ortega
15,9,NERY FRANCISCA BRAVO ESPINOZA,NICARAGUA,CARAZO,CARAZO,Norte,Bicicleta tres asientos,S2,78,41356,1,"449,99","382,49",Delivered,Fernando Andrés Ortega
16,1,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Bicicleta carrera,S2,79,41357,22,"551,02","413,27",Returned,Valeria Beatriz Herrera
16,2,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Bicicleta mountain infantil,S2,80,41358,17,"116,99","98,27",Shipped,Valeria Beatriz Herrera
16,8,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Bicicleta paseo,S2,81,41359,19,"161,99","136,07",Delivered,Valeria Beatriz Herrera
16,10,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Monociclo,S2,82,41360,1,"215,99","183,59",Returned,Valeria Beatriz Herrera
16,12,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Asiento para bicicleta velocidad,S2,83,41361,32,"42,8","35,95",Shipped,Valeria Beatriz Herrera
16,15,"DEPORTES DE MASAYA, S.L.",NICARAGUA,MASAYA,MASAYA,Este,Gafas,S2,84,41362,65,"48,81",41,Confirmed,Valeria Beatriz Herrera
17,1,JORGE BISMARK MEZA VASQUEZ,NICARAGUA,CHINANDEGA,CHINANDEGA,Este,Bicicleta carrera,S2,85,41363,22,"581,64","581,64",Delivered,Oscar David Salinas
17,4,JORGE BISMARK MEZA VASQUEZ,NICARAGUA,CHINANDEGA,CHINANDEGA,Este,Bicicleta carrera mod. A,S2,86,41364,24,"284,99","284,99",Pending,Oscar David Salinas
18,1,MELVIN ANTONIO MIRANDA,NICARAGUA,LEON,LEON,Centro,Bicicleta carrera,S2,87,41365,19,"581,64","436,23",Shipped,Margarita Susana Rivas
18,2,MELVIN ANTONIO MIRANDA,NICARAGUA,LEON,LEON,Centro,Bicicleta mountain infantil,S2,88,41366,17,"123,49","103,73",Shipped,Margarita Susana Rivas
18,8,MELVIN ANTONIO MIRANDA,NICARAGUA,LEON,LEON,Centro,Bicicleta paseo,S2,89,41367,1,"170,99","145,34",Confirmed,Margarita Susana Rivas
18,12,MELVIN ANTONIO MIRANDA,NICARAGUA,LEON,LEON,Centro,Asiento para bicicleta velocidad,S2,90,41368,48,"45,18","37,95",Pending,Margarita Susana Rivas
18,9,MELVIN ANTONIO MIRANDA,NICARAGUA,LEON,LEON,Centro,Bicicleta tres asientos,S2,91,41369,1,"427,49","363,37",Returned,Margarita Susana Rivas
19,4,"DEPORTES PALMERA, S.A.",NICARAGUA,CHONTALES,CHONTALES,Centro,Bicicleta carrera mod. A,S2,92,41370,13,"269,99","213,29",Shipped,Diego Alejandro Núñez
19,5,"DEPORTES PALMERA, S.A.",NICARAGUA,CHONTALES,CHONTALES,Centro,Bicicleta carrera mod. B,S2,93,41371,4,"494,99","395,99",Shipped,Diego Alejandro Núñez
19,8,"DEPORTES PALMERA, S.A.",NICARAGUA,CHONTALES,CHONTALES,Centro,Bicicleta paseo,S2,94,41372,4,"161,99","137,69",Confirmed,Diego Alejandro Núñez
20,1,"DEPORTES DE RUEDAS, S.L.",NICARAGUA,RIVAS,RIVAS,Centro,Bicicleta carrera,S2,95,41373,14,"551,02","413,27",Returned,Claudia Josefina Torres
20,8,"DEPORTES DE RUEDAS, S.L.",NICARAGUA,RIVAS,RIVAS,Centro,Bicicleta paseo,S2,96,41374,3,"161,99","137,69",Returned,Claudia Josefina Torres
20,12,"DEPORTES DE RUEDAS, S.L.",NICARAGUA,RIVAS,RIVAS,Centro,Asiento para bicicleta velocidad,S2,97,41375,32,"42,8","35,95",Pending,Claudia Josefina Torres
20,13,"DEPORTES DE RUEDAS, S.L.",NICARAGUA,RIVAS,RIVAS,Centro,Casco bicicleta,S2,98,41376,81,"43,19","36,28",Shipped,Claudia Josefina Torres
20,9,"DEPORTES DE RUEDAS, S.L.",NICARAGUA,RIVAS,RIVAS,Centro,Bicicleta tres asientos,S2,99,41377,3,"404,99","344,24",Pending,Claudia Josefina Torres
1,1,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera,S2,100,41378,15,"551,02","446,33",Shipped,Juan Carlos González
1,2,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta mountain infantil,S2,101,41379,30,100,100,Delivered,Juan Carlos González
1,4,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. A,S2,102,41380,15,"269,99","207,89",Shipped,Juan Carlos González
1,5,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. B,S2,103,41381,15,"494,99","381,14",Shipped,Juan Carlos González
1,6,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta infantil,S2,104,41382,15,"44,99","37,79",Delivered,Juan Carlos González
1,7,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Mountain bike,S2,105,41383,30,"53,99","45,35",Returned,Juan Carlos González
1,8,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta paseo,S2,106,41384,15,"161,99","136,07",Shipped,Juan Carlos González
1,11,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera modelo C,S2,107,41385,30,"539,99","415,79",Shipped,Juan Carlos González
1,10,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Monociclo,S2,108,41386,3,"215,99","183,59",Shipped,Juan Carlos González
1,12,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Asiento para bicicleta velocidad,S2,109,41387,3,"42,8","36,38",Pending,Juan Carlos González
1,13,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Casco bicicleta,S2,110,41388,3,"43,19","36,71",Pending,Juan Carlos González
1,14,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,EmpuÃ±adura,S2,111,41389,3,"63,11","53,64",Returned,Juan Carlos González
1,15,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Gafas,S2,112,41390,3,"48,81","41,49",Confirmed,Juan Carlos González
1,3,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta dual,S2,113,41391,3,"314,99","267,74",Pending,Juan Carlos González
1,9,EDWIN BAQUEDANO GARCÃA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta tres asientos,S2,114,41392,3,"404,99","344,24",Pending,Juan Carlos González
2,1,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera,S2,115,41393,15,"581,64","581,64",Delivered,María Fernanda López
2,2,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta mountain infantil,S2,116,41394,15,"123,49","123,49",Delivered,María Fernanda López
2,4,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. A,S2,117,41395,15,"284,99","284,99",Confirmed,María Fernanda López
2,5,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. B,S2,118,41396,15,"522,49","522,49",Pending,María Fernanda López
2,6,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta infantil,S2,119,41397,30,"47,49","47,49",Shipped,María Fernanda López
2,7,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Mountain bike,S2,120,41398,30,"56,99","56,99",Shipped,María Fernanda López
2,8,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta paseo,S2,121,41399,30,"170,99","170,99",Shipped,María Fernanda López
2,11,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera modelo C,S2,122,41400,30,"569,99","569,99",Delivered,María Fernanda López
2,10,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Monociclo,S2,123,41401,3,"227,99","227,99",Confirmed,María Fernanda López
2,12,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Asiento para bicicleta velocidad,S2,124,41402,15,"45,18","45,18",Returned,María Fernanda López
2,13,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Casco bicicleta,S2,125,41403,15,"45,59","45,59",Returned,María Fernanda López
2,14,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,EmpuÃ±adura,S2,126,41404,15,"66,61","66,61",Pending,María Fernanda López
2,15,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Gafas,S2,127,41405,15,"51,52","51,52",Confirmed,María Fernanda López
2,3,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta dual,S2,128,41406,3,"332,49","332,49",Delivered,María Fernanda López
2,9,JOSE OMAR RODRIGUEZ ZAPATA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta tres asientos,S2,129,41407,3,"427,49","427,49",Pending,María Fernanda López
4,1,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera,S2,130,41408,13,"581,64","581,64",Delivered,Ana Patricia Martínez
4,2,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta mountain infantil,S2,131,41409,9,"123,49","123,49",Shipped,Ana Patricia Martínez
4,4,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta carrera mod. A,S2,132,41410,13,"284,99","284,99",Returned,Ana Patricia Martínez
4,6,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta infantil,S2,133,41411,21,"47,49","47,49",Confirmed,Ana Patricia Martínez
4,7,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Mountain bike,S2,134,41412,18,"56,99","56,99",Shipped,Ana Patricia Martínez
4,10,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Monociclo,S2,135,41413,15,"227,99","227,99",Shipped,Ana Patricia Martínez
4,12,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Asiento para bicicleta velocidad,S2,136,41414,15,"45,18","45,18",Confirmed,Ana Patricia Martínez
4,14,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,EmpuÃ±adura,S2,137,41415,30,"66,61","66,61",Pending,Ana Patricia Martínez
4,9,MERCEDES DEL SOCORRO MIRANDA SILVA,NICARAGUA,JINOTEGA,JINOTEGA,Este,Bicicleta tres asientos,S2,138,41416,15,"427,49","427,49",Shipped,Ana Patricia Martínez
5,1,CRISTINA DEL ROSARIO MIRANDA BLANDÃN,NICARAGUA,ESTELI,ESTELI,Centro,Bicicleta carrera,S2,139,41417,20,"581,64","436,23",Delivered,Carlos Eduardo Pérez
